,end_date,sold_units
124,2022-11-12,188.0
17,2022-11-19,169.0
82,2022-11-26,360.0
74,2022-12-03,420.0
65,2022-12-10,219.0
64,2022-12-17,207.0
62,2022-12-24,150.0
142,2022-12-31,131.0
179,2023-01-07,184.0
211,2023-01-14,139.0
160,2023-01-21,126.0
159,2023-01-28,146.0
196,2023-02-04,168.0
212,2023-02-11,140.0
169,2023-02-18,136.0
180,2023-02-25,96.0
168,2023-03-04,124.0
220,2023-03-11,153.0
224,2023-03-18,160.0
206,2023-03-25,145.0
185,2023-04-01,184.0
190,2023-04-08,164.0
188,2023-04-15,143.0
186,2023-04-22,166.0
213,2023-04-29,144.0
230,2023-05-06,131.0
227,2023-05-13,161.0
222,2023-05-20,219.0
187,2023-05-27,239.0
229,2023-06-03,307.0
162,2023-06-10,291.0
171,2023-06-17,251.0
191,2023-06-24,187.0
183,2023-07-01,237.0
199,2023-07-08,204.0
209,2023-07-15,192.0
172,2023-07-22,180.0
167,2023-07-29,152.0
192,2023-08-05,177.0
203,2023-08-12,135.0
181,2023-08-19,170.0
184,2023-08-26,116.0
197,2023-09-02,162.0
202,2023-09-09,193.0
231,2023-09-16,152.0
182,2023-09-23,164.0
174,2023-09-30,196.0
223,2023-10-07,200.0
175,2023-10-14,196.0
201,2023-10-21,143.0
232,2023-10-28,250.0
207,2023-11-04,278.0
177,2023-11-11,508.0
210,2023-11-18,148.0
195,2023-11-25,244.0
173,2023-12-02,488.0
204,2023-12-09,209.0
208,2023-12-16,201.0
163,2023-12-23,164.0
164,2023-12-30,154.0
165,2024-01-06,200.0
215,2024-01-13,181.0
161,2024-01-20,143.0
218,2024-01-27,238.0
226,2024-02-03,190.0
233,2024-02-10,145.0
216,2024-02-17,126.0
194,2024-02-24,198.0
214,2024-03-02,149.0
219,2024-03-09,148.0
157,2024-03-16,146.0
221,2024-03-23,100.0
